编号	说话人1/2	中文文本	英文文本	补充成分	补充句子	错别字
	1	嗯 在教授那里	Yes, at the professor's.			
	1	尼尔会去买回来	Neil will go to buy it.			
	2	那你得给他钱	Then you have to give him money.			
	2	难怪要戴幸运领带了	No wonder you wear your lucky tie.	you	难怪你要戴幸运领带了	
	1	没门 我们准备搞一次假转账	No way. We're going to make a fake transfer.			没门 我们准备搞一次假转帐
						
248	1	我们来玩牌吧	Let's play cards!			
	2	我不太想玩 妈	I don't really want to play, mom.			
	1	怕输吗	Are you afraid to lose?	you	你怕输吗	
	2	自打我上小学你就没赢过我	You haven't beaten me since I was in primary school.			
	1	那我现在要趁你虚弱	I'm gonna take advantage of your weakness			那我现在要乘你虚弱
	1	赢几把	to win a few times.			
	2	好吧	All right.			
						
249	1	我和那个很凶的科萨克谈了	I talked to the fierce Kossack.			
	1	你一直在向媒体泄露进行中的	You've been leaking to the press about what's going on			
	1	谋杀案件调查信息	of the murder investigation information.			
	1	这很可能影响调查的	This is likely to affect the investigation.			
	2	我没有泄露过信息	I didn't let any information out.			
	1	你用你的工作电脑发了电子邮件	You used your work computer to send emails.			
	2	哦对 好吧 我是泄露了	Oh, yes, I did.			
	2	我跟我表弟讲过一些事	I told my cousin something.			
	2	他有个犯罪博客 是他发布的	He has a crime blog, it was posted by him.			
	1	这就叫泄露	This is called leakage.			
	2	不 我只是和亲戚谈了谈工作	No, I just talked to my relatives about work.			
	1	你就打算这么辩解吗	Is that what you're going to defend?			你就打算这么辨解吗
	2	是啊 可以了吗	Yeah, is that enough?			
	1	不可以	No, it isn't.			
	1	你倒霉了	You're out of luck.			
						
250	1	那蠢蛋为什么跟你分手	Why did that fool break up with you?			
	2	他说因为我太粘人了	He said it was because I was too clingy.			
	2	不过说真的	But seriously speaking,			
	2	我觉得他是想找个大点的女孩	I think he wants to look for an older girl.			
	2	他在上大学	He is at university.			
	2	你们呢	What about you?			
	1	我们两个不是很搭 结果就。。。	We really didn't fit, so...			
	2	我现在可能看起来一团糟了吧	I might look like a mess now.			
	2	我的睫毛膏有流下来吗	Is my mascara running down?			我的睫毛膏有留下来吗
	1	有一点	A little bit.			
	2	你能帮我擦掉吗	Can you help me erase it?			
						
251	1	你以前在这工作是吗 弗里斯小姐	You used to work here, didn't you? Miss Frith.			
	2	是的 两年前 作为实习生	Yes, as an intern two years ago.			是的 两年前 做为实习生
	1	你是想回来工作吗	Do you want to come back to work?			
	2	不是	No.			
	1	开个玩笑	Just a joke.			
	1	暖暖场	For warming up.			
	1	那。。。有什么我们能效劳的吗	Well...What can we do for you?			
						
252	1	很晚了 你在等人来吗	It's very late. Are you waiting for someone?			
	2	是的 休斯 有公务要谈	Yes, Hughes. I have business to talk about.	I	是的 休斯 我有公务要谈	
	1	什么公务还要上司亲自登门拜访	What business calls for a personal visit from the boss?			
	2	数十年的卧底警察 有组织犯罪 两起凶杀案	An undercover police for decades. There is an organized crime and two murders.			数十年的卧底警察 有组织犯罪 两期凶杀案
	2	牵涉到的人远不止卡夫瑞和他爸爸	It's not just involves Caffrey and his father.			牵涉到的人远不只卡夫瑞和他爸爸
	2	这是公共腐败	This is public corruption.			
	2	我们得逮捕普拉斯	We need to arrest Plath.			
	1	他很有权势	He has a lot of power.			
	2	我知道	I know that.			
	1	你有计划吗	Do you have any plans?			
	2	我想趁他在纽约 先窃听他	I want to eavesdrop on him while he's in New York.			
	1	这事不能声张	This must be hushed up.			
						
253	1	我叫尼克·豪登 想做你的股票经纪	I am is Nick Howden and I'd like to be your stockbroker.			
	2	我有经纪人了	I had an agent.			
	1	是吗 他干得怎么样	Really? How did he do?			
	1	去年给你赚钱了吗	Did he make any money for you last year?	he	他去年给你赚钱了吗	
	2	去年谁赚钱了啊	Who made money last year?			
	1	非也非也	No no.			
	1	你要雇了我 就净赚百分之三了	If you hire me, you'll net three percent			
	1	还是暴跌之后的赚头	after the crash.			还是爆跌之后的赚头
	2	我才不信	I don't believe.			
	1	那给我邮箱地址	Then give me your email address.			
	1	我这就把盈利报告发给你看	I'll send you the earnings report.			
	1	生物科技和造酒业股票都涨了	Biotechnology and distillery stocks are up.			
						
254	1	我准备把欧德莱从这个项目中撤资	I'm going to divest Odeley from this project.			
	2	你确定	Are you sure?			
	2	因为一旦准备工作就绪了	Because once everything is ready,			
	2	可能会赚得盆满钵盈	it might make a fortune.			可能会赚得朋满钵盈
	1	但情况有变	But things have changed.			
	2	有什么问题 特里	What's wrong, Terry?			
	2	我会处理的	I'll deal with it.			
	1	有必要查一下欧德莱	It's necessary to check on Odeley.			
	2	我去查一下城市规划	I'll check the city plan.			我去查一下城市归化
	2	如果他们讨论项目不是光明磊落的	If they don't discuss the project honorably,			
	2	就可能成为我们调查的突破点	it could be a breakthrough of our investigation.			
						
255	1	卡梅隆 来认识一下我的新朋友惠特妮	Cameron, I'd like you to know my new friend Whitney.			
	1	惠特妮 这是卡梅隆	Whitney, this is Cameron.			惠特妮 这事卡梅隆
	2	你好 认识你很高兴	Hi! Nice to meet you.			
	2	你的裙子真是惊艳	Your dress is amazing.			你的裙子真是经验
	1	这老旧玩意儿？	This old thing?			
	2	看看她发型	Look at her haircut.			
	2	天啊	Oh my god!			
	2	就跟芭芭拉·史翠珊在《往日情怀》里一样	Just like Barbra Streisand in "The Way We Were",			
	2	我的最爱之一	which is one of my favorites.			
						
256	1	亲爱的 我正想打给你呢	Honey, I was just about to call you!			
	2	我弄死了一窝小鸟	I killed a litter of birds.			
	1	什么	What?			
	2	我的机器人把鸟窝给端了	My robot carried the bird's nest.			
	2	现在鸟妈妈正瞪着我呢	Now the mother bird is staring at me.			
	2	它们能记住人的长相	They can remember people's appearances.			
	2	我在纪录片上看到过	I've seen it in documentaries.			我在记录片上看到过
	1	亲爱的 我相信那只是个意外而已	Honey, I'm sure that it was an accident.			
	1	要是我们去看比赛	If we went to watch the game,			
	1	就不会发生这种事情了	it wouldn't have happened such an accident.			
						
257	1	我和你的律师谈过了	I talked to your lawyer.			
	1	法官不批准保释	The judge denied bail.			
	2	怎么会这样	How come?			
	1	你肯定是因为我过去犯过的错误	You must be because of the mistakes I've made in the past,			
	1	而受到了牵连	so you got implicated.	you	而你受到了牵连	而受到了迁连
	1	不要担心 都会没事的	Don't worry. Everything will be ok.			
	2	不 不会的 爸爸	No, it won't, daddy.			
	2	我确实做了 我有罪	I did it. I'm guilty.			
	1	内特	Nate.			
	1	你从来都没做错过什么事	You never did anything wrong.			
						
258	1	卡夫瑞扮成警卫 从E区人员的浴室出来	Caffrey came out of the E area's bathroom disguised as a guard.			
	2	他哪里来的制服	Where did he get his uniform?			
	1	网上的制服定做公司	From an online uniform customization company.			
	1	他有信用卡	He has a credit card.			
	1	他用了我太太的美国运通卡	He used my wife's American Express Card.			
	1	我们在追踪这个账号 也许他会再用	We're tracking this account and maybe he'll use it again.			我们在追踪这个帐号 也许他会再用
	2	他不会的	He won't.			
	2	他怎么弄到大门的钥匙卡的	How did he get the key card of the gate?			
	1	我们认为他重构了公用卡	We think that he refactored the public card.			
	1	使用了卡上的原有记录	He used the original record on the card. 	he	他使用了卡上的原有记录	
						
259	1	文斯	Vince.			
	1	能帮我个忙吗	Could you do me a favor?	you	你能帮我个忙吗	
	1	你回局里的时候能不能把这个给莫拉	Can you give this to Maura when you get back to the station?			
	2	当然 怎么了	Of course. What's up?			
	1	我只是想感谢她帮我复习考试	I just wanted to thank her for helping me study for the exam.			
	2	她帮到你了吗	Did she help you?			
	1	她尽力了	She tried her best.			
	1	但我本来就没救了	But I was hopeless.			
	1	我退出了学习小组	I dropped out of the study group.			我推出了学习小组
	2	我很遗憾	I'm sorry.			
	2	你看起来也没有因此开心起来	You don't seem happy because of it.			
	1	我确实不开心 感觉糟糕透了	I'm really unhappy, I feel terrible.			
						
260	1	维加家里的车和搜查令没批下来	Vega's car and search warrant didn't approve.			
	1	没有陪审团对他提起诉讼	No jury indicted him.			
	2	什么	What?			
	2	默克怎么能阻止陪审团调查	How could Merck prevent the investigation of a jury?			
	1	跟他们说这事季后赛打完再办	He told them to do it after the playoffs.	he	他跟他们说这事季后赛打完再办	跟他们说这事季候赛打完再办
	2	所有高层都让我们不要管	All the top brass told us to leave it alone.			
	1	这话对罗恩·麦肯纳的儿子说去	Say that to Ron McKenna's son.			
	1	我可没让你停下	I didn't tell you to stop.			
	1	想法子抓到维加	Try to catch Vega.			
						
261	1	詹娜 你到底想怎样	Jenna, what do you really want?			
	2	我想要的 你给不了我	You can't give me what I want.			
	2	你跟你朋友都是不负责任的人	You and your friends are irresponsible.			你跟你朋友都是不负责人的人
	2	就像我和艾米丽说的	Like Emily and I said,			
	2	你们不仅不负责任 还喜欢搞破坏	you are not only irresponsible but also fond of destruction.			
	2	还觉得自己永远不用付出代价	And you feel like you'll never have to pay a price.	you	你们还觉得自己永远不用付出代价	
	1	我们已经得到报应了 詹娜	We've gotten what we deserved with, Jenna.			
	1	我们每天都在付出代价	We pay a price every day.			
	2	多少代价	How much is the price?			
	2	有人记账吗	Is anyone keeping an account?			
	1	我知道你心里不平衡 想要得到补偿	I know you want to be compensated for your imbalance,			
	1	这我能理解	I can understand that,			
	1	但我不会让你把这场悼念会变成我们的批斗会	but I won't let you turn this memorial into our struggle meeting.			但我不会让你把这场叨念会变成我们的批斗会
						
262	1	斯宾塞 求你了	Spencer, I beg you, please.	I	斯宾塞 我求你了	
	2	放手 停下	Let it go, stop!			
	1	你不能烧掉它	You can't burn it.			
	2	我地盘上找到的东西 我想怎么处理都行	I can deal with it in any ways I like in my place.			我底盘上找到的东西 我想怎么处理都行
	1	但这可能是证据	But this may be evidence.			
	2	我都已经掏钱把伊恩·托马斯葬了	I've already paid for Ian Thomas to be buried.			
	2	我们不再需要证据了	We don't need evidence anymore.			
	2	请你理解我	Please understand me.			
						
263	1	你真的不想吃块饼干吗	Are you sure that you don't want a cookie?			
	2	不想 谢谢	No, thanks.			
	1	好吧	Ok.			
	1	我是买给西比尔的	I bought it for Sybil.			
	1	她是我最喜欢的护士 人很好	She's my favorite nurse. She is very nice.			
	1	要懂得知恩图报	I know how to repay kindness.	I	我要懂得知恩图报	
	1	我想你见到我很惊讶吧	I suppose you were surprised to see me, don't you?			我想你见到我很惊讶把
	2	你这是玩火	You are playing with fire.			
	2	竟然来这里 跟我谈话	You should come here to talk to me!	you	你竟然来这里 跟我谈话	尽然来这里 跟我谈话
	1	只是来看看朋友	I just come here to see my friends.	I	我只是来看看朋友	
						
264	1	一年了 我们还是抓不到她的任何把柄	It's been a year,  we still can't catch anything on her.			
	2	我们能传唤她的电话记录吗	Can we subpoena her phone records?			
	1	所有的来电都转入办公室的语音信箱	All incoming calls go to the office voicemail.			
	1	目前为止 我们没法把她跟其他号码关联起来	So far we can't connect her to any other numbers.			
	1	她还很能读心	She can also read others' minds.			
	1	我一年前审问过她	I interrogated her a year ago.			
	1	她在五分钟之内能解读出我妈都不知道的事情	She can read out something that my mother doesn't know in five minutes.			她在五分钟之内能解毒出我妈都不知道的事情
	2	太可怕了	It's horrible.			
	2	我们得想办法找到她	We have to find her anyway,			
	2	或者她可以找到我们	or she could find us.			
						
265	1	没事 凯里 你慢慢说	It's all right, Cary. Speaking slowly.			
	1	我知道你想告诉我们事实	I know you want to tell us the truth.			
	2	我当时没在为州检办工作 这就是事实	I wasn't working for the state Attorney's Office at the time, that's the truth.			
	1	你在州检办工作之前	Before you worked at the state Attorney's office,			
	1	在律师事务所能赚多少	how much do you earn at the law firm?	you	你在律师事务所能赚多少	在律师事物所能赚多少
	2	一年八万五千美元	Eighty-five thousand dollars a year.			
	1	你现在能赚多少	How much are you making now?			
	2	一年三万八千美元	Thirty-eight thousand dollars a year.			
	1	可你却住着豪华的公寓	But you live in a luxurious apartment.			
	1	每月租金四千美元	The rent is four thousand dollars a month.			
	1	一年的租金比你的工资高	A year's rent is higher than your salary.			
						
266	1	莫拉医生 可否麻烦你	Dr. Mora, May I trouble you	I	莫拉医生 我可否麻烦你	
	1	来看一下这些指纹	to take a look at these fingerprints?			
	1	货车上的 发现了吗	They're in the van. Did you find them?			
	2	其实共有三枚	There are actually three of them.			
	1	你应该看过报告了吧	You should have read the report, shouldn't you?			
	2	约翰·波克的指纹在油箱盖上	John Pork's fingerprints were on the tank lid.			约翰·波克的指纹在邮箱盖上
	2	邓恩的残留在车厢顶部	Dunn's remains on top of the van.			
	2	还有一枚残缺的指纹在后视镜上	There's an incomplete fingerprint on the rearview mirror.			
	2	可能是司机的吧	It's probably the driver's.			
	1	是的	Yes.			
						
267	1	我觉得他可能是拥有一家大公司什么的	I think he might have a big company or something.			
	1	所以才让我做亲子鉴定	So he made me do a paternity test.	he	所以他才让我做亲子鉴定	
	1	还要签个协议 保证我不告他什么的	And signed an agreement that I won't sue him or anything.			
	1	太疯狂了	That's too crazy.			
	1	好像我想要他的钱一样	Like I wanted his money.			
	2	赶紧签字 完了坐着他的游艇走人	Sign quickly! And leave on his yacht.			
	1	我还得见他呢	I still have to see him!			
	2	为什么	Why?			
	1	因为鉴定必须两人同时到场	Because both must be present at the same time			
	1	才能保证样本不会被调包什么的	so that the sample doesn't get swapped or anything.			才能保证样本不会被掉包什么的
	2	我知道你不想接触他	I know you don't want to contact him,			
	2	可是你没有选择	but you have no choice.			
						
268	1	这是我的联系方式 有事打我电话	Here's my contact information. Call me if you have something.	you	这是我的联系方式 你有事打我电话	
	2	谢了 加勒特	Thanks, Garrett.			
	2	幸亏半路遇到你	Thanks to meeting you on the way.			辛亏半路遇到你
	1	我也是	Me, too.			
	1	对了 要是你想找点乐子	By the way, if you want to have some fun,			
	1	别忘了还有我这个大闲人	don't forget me, a big idler.			
	2	谢了 不过我真的是有事。。。	Thanks, but I really have something to do.			
	1	没事儿 你忙吧	That's ok. Get your things done first.			
						
269	1	失血过多而死	He died for excessive loss of blood.			
	1	肾脏两处刺伤	Two stab wounds in the kidney.			
	1	一种极其痛苦的死亡方式	It is an extremely painful way to die.			一种及其痛苦的死亡方式
	2	是的 但是很快速 只需要一把利器	Yes, but it's fast. It only needs a sharp weapon.			
	2	这里人人都会用	Everybody uses it here.			
	1	不 看起来更像是针刺的伤	No. It looks more like a prick.			
	1	边缘很干净	The edges are clean.			
	1	一种很犀利的东西	It is something very sharp.			
	1	和简的情况一样	The same as Jane.			
						
270	1	请具体说说	Tell me more in details.			
	1	你凭什么认为这是营销手段	Why do you think this is marketing.			
	2	推第一款产品时 我们就讨论过这做法	We talked about that when we launched the first product.			
	2	格罗斯先生即将推出新品	Mr. Gross is about to launch something new.			格罗斯先生即将退出新品
	2	初涉个人计算装置领域	He is new in the field of personal computing devices.	he	他初涉个人计算装置领域	
	2	他为此投资了8个亿	He invested $800 million for it.			
	2	怎么可能不时刻盯着产品雏形	How could he not keep an eye on the prototype?	he	他怎么可能不时刻盯着产品雏形	
						
271	1	其实如果你感到压力很大	In fact, if you're feeling stressed,			
	1	你可以来找我聊聊	you can come and talk to me.			
	2	我知道	I know.			
	2	只是有时候忘记了	Sometimes I just forget.	I	我只是有时候忘记了	
	2	我不必独自解决所有问题	I don't have to solve all the problems alone.			我不比独自解决所有问题
	1	如果不能随时跟朋友吐槽八卦	If you can't gossip with your friends at any time,	you	如果你不能随时跟朋友吐槽八卦	
	1	那还要朋友做什么	what do you need friends for?	you	那你还要朋友做什么	
	2	我以为重点是我们能互相支持	I thought the point was that we could support each other.			
	1	那也算 但吐槽八卦多好玩呀	That's fine, but it's fun to gossip!			
						
272	1	你拿到证据了吗	Did you get the evidence?			
	2	比我们想象的要困难	It's more difficult than we thought.			
	2	我想在帕特里克的杯子上取指纹	I want to fingerprint Patrick's cup.			
	2	可他擦干净了	But he made it clean.			
	1	你确定吗	Are you sure?			
	2	是的	Yes.			
	2	梳子很干净	The comb is clean.			
	2	牙刷以及刮胡刀都清理过了	The toothbrush and razor have been cleaned.			
	2	到处都一尘不染	Everything is spotless.			到处都一尘不然
	1	要么这家伙是个有洁癖的怪胎	Either this guy's a freak with a clean freak,			
	1	要么他有理由不得不过着不留痕迹的生活	or he had an excuse that he has to live without a trace.			
						
273	1	我没搞明白	I don't figure it out.			
	1	你是要起诉枪械生产商吗	Are you suing the gun manufacturer?			
	2	不 我们起诉的是3D手枪的设计师	No, we're suing the designer of the 3D gun.			
	2	设计缺陷导致我当事人受伤残疾	The design defect resulted in my client's disability.			设计缺陷导致我当事人受伤残迹
	1	这和你成为州检察官有什么关系	What does this have to do with you becoming a state attorney?			
	2	行动胜于空谈	Actions speak louder than words.			
	2	多年以来 我都一直致力于处理类似的枪支管控案件	I've been working on gun control cases like this for many years.			
	1	可是同样你也代理过许多罪大恶极的人	But in the same way you have acted many wicked men.			
	1	比如莱蒙德·毕夏普	Like Lemond Bishop.			
	2	他已经不是我们的客户了	He's not our client anymore.			
						
274	1	你回来就不再走了吗	Will you never leave when you come back?			
	2	一言难尽	Thereby hangs a tale.			
	2	我妈妈放弃了她的抚养权	My mother gave up her custody.			
	2	这一点是无法改变的	That cannot be changed.			这一点是无法该变的
	1	那就交给律师嘛	Leave it to the lawyer.			
	2	我应该会一直待到学年结束	I should stay until the end of the school year.			
	1	然后呢	And then?			
	2	到时候才知道	I'll find out until that time.	I	到时候我才知道	
	2	如果你不能收留我	If you can't take me in,			
	2	我完全可以再想其它办法	I could completely do something else.			
						
275	1	杰 陪我去逛商场吧	Jay, Come with me to the mall.			
	2	不了 我今天胃有点不舒服	No, I have a stomachache today.			
	1	这可不得了了呀	That's a big deal.			
	2	美国人都很娇气	Americans are squeamish.			美国人都很骄气
	2	在我们哥伦比亚 像是小感冒或者肩膀脱臼什么的	In Colombia, something like a cold or a dislocated shoulder,			
	2	根本用不着去医院	there's no need to go to the hospital.			
						
276	1	安娜 能谈谈嘛	Anna, can we have a talk?	we	安娜 我们能谈谈嘛	
	2	谈什么	Talk about what?			
	2	谈谈我的闺蜜和兄弟是如何欺骗我的吗	Talk about how my best friend and my brother cheated on me?			
	1	我们没骗你 只是没跟你说罢了	We're not lying to you. We just didn't tell you.			
	2	有区别吗	Is there a difference?			
	2	你知道是什么最让我伤心吗	Do you know what hurts me most?			
	2	听到杰西说了那么多我的坏话	To hear Jesse say so many bad things about me.			
	2	你竟然没为我说一句话	You didn't say a word for me.			你尽然没为我说一句话
	2	好朋友可不会这样	Good friends won't do that.			
						
277	1	目标 雷哈特大楼第八层的金库	The goal is the vault on the eighth floor of The Reinhardt Building.			
	2	里面是什么	What's in there?			
	1	金币	Gold coins.			
	1	威尔士黄金铸成	They are made of Welsh gold.			威尔士黄金筑成
	1	价值是一般黄金的三倍	It's worth three times the average gold.			
	2	威尔士也就这点东西值点钱	That's all Wales is worth.			
	2	选其他方式搞钱吧	Choose other ways to make money.			
	1	不 这就是我想要的	No, that's what I want.			
	1	我本身欠了债 这事还债的内容之一	I'm in debt. This is part of the debt.			
						
278	1	关于持枪者我们知道多少	What do we know about the gunbearer?			
	2	名字叫格罗福内尔	His name is Grofner.	his	他的名字叫格罗福内尔	
	2	72岁的退休工程师 独居 无亲属	He is a 72-year-old retired engineer who lives alone without relatives.			
	1	他在做什么药物治疗吗	Is he doing any drug therapy?			
	2	他不相信医生	He doesn't trust doctors.			
	2	他上次看医生是半年前在急诊室	The last time he saw a doctor was six months ago in the emergency room.			
	1	是精神崩溃么	Is he a mental breakdown?	he	他是精神崩溃么	是精神奔溃么
	2	髋关节骨折	Hip fracture.			
	2	第一批应急队员说他们试着跟他谈	The first emergency response team said they tried to talk to him,			
	2	但他说他只跟女警察说话	but he said he only talked to policewomen.			
						
279	1	亲爱的 你怎么这么早就回来了	Honey, why are you come back so early?			
	2	我辞职了 那家伙是头彻头彻尾的猪	I quit, that guy was a complete pig.			
	2	他把我当仆人一样使唤	He orders me like a servant,			
	2	完全不尊重我	totally disrespectful to me.			
	1	太遗憾了 你不应该受到那样的待遇	What a pity! You didn't deserve to be treated like that.			太遗憾了 你不应该收到那样的待遇
	2	的确是	Exactly.			
						
280	1	你要干嘛	What are you going to do?			
	2	参选州检察官	Run for state attorney.			
	1	为什么	Why?			
	2	我认为自己能胜任	I think I am qualified.			
	1	那你的本职工作律师怎么办呢	What about your own work as a lawyer?			
	2	在竞选过程中我仍然会跟进	I still follow it through the campaign trail on			在竞选过程中我任然会跟进
	2	我手头现有的案子	the cases I have in hand now.			
	1	但如果你赢了 你就得辞职	But if you win you have to quit.			
	2	是的 我会成为州检察官	Yes, I'll be the state attorney.			
						
281	1	我现在只有几分钟	I only have a few minutes.			
	1	咱们直奔主题吧	Let's get right to the point.			咱们直奔主体吧
	1	你想要我的钱 对吧	You want my money, don't you?			
	2	没错	Yes.			
	1	我来说一下理由吧	Let me give you my reasons.			
	2	行	OK.			
	2	我会通过大力查处枪械犯罪以降低谋杀率	I will reduce the murder rate by aggressively cracking down on gun crime.			
	1	很好 这的确是个大问题	Good, it's really a big problem.			
	2	而且我会致力于把现在的公诉进程加快一倍	And I will work to double the process of prosecutions.			而且我会致力于吧现在的公诉进程加快一倍
	1	这些事你说得很好	You said it!			
	1	但是家庭	But family			
	1	对我这种人来说重于一切	to someone like me is more important than anything else.			
						
282	1	你认识这个人吗	Do you know this man?			
	2	是爱迪·兰博	He's Eddie Rambo.	he	他是爱迪·兰博	
	2	他在德拉里工作	He works in Delari.			
	2	我在给书取材时曾经采访过他	I interviewed him when I was drawing materials on the book.			我在给书取材时曾今采访过他
	1	爱迪·兰博吗	Eddie Lamb?			
	1	斯宾塞今天就跟他谈过	Spencer talked to him today.			
	1	她说他什么都不愿意说	She said he wouldn't say anything.			
	1	说这有违德拉里的规定	He said it's against delarie's rules.	he	他说这有违德拉里的规定	
	2	他可能改变主意了吧	He may have changed his mind.			
	1	可他为什么选择给你 而不给斯宾塞	But why did he choose you but not Spencer?			
						
283	1	我都不相信这件事要发生在我身上	I can't believe this is going to happen to me.			
	2	不能放弃希望	You can't give up hope.	you	你不能放弃希望	
	1	我唯一的希望就是你安全无恙	My only hope is that you are safe.			
	1	这是我唯一要你做出的承诺	This is the only promise I want you to make.			
	1	如果事情恶化 我要你想办法离开	If things get worse I want you to find a way to leave.			
	2	离开是什么意思	What does "leave" mean?			
	1	远离这里 离开这里	Get away from here, leave here.			
	1	我要你坐飞机或者是船	I want you to take a plane or a boat to			我要你做飞机或者是船
	1	去一个他们找不到你的地方	somewhere they can't find you.			
	1	只要你安全 我就能应付过去	I can handle it as long as you're safe.			
	2	我不会这么做的	I won't do it.			
	1	我要你这么做	I want you to do it.			
	1	答应我	Promise me.			
						
284	1	天啊 快看 莫拉	My God. Look! Maura.			
	1	那里 那里有马蹄蟹	There! There are horseshoe crabs！			
	2	在哪儿啊	Where is it?			
	1	就在那儿	It's over there！			
	1	对 我在那边也看见了一只	Yeah, I saw one over there, too.			对 我在那边也看见了一直
	2	多切斯特湾已经有25年没出现过马蹄蟹了	Horseshoe crabs have not been seen in Dorchester Bay for 25 years.			
	2	它们回来了	They come back!			
	2	看啊 那儿也有一只	Look! there's one over there, too!			
	1	小心 它们是濒危物种	Be careful! They are endangered species.			
						
285	1	刚刚发生了麻省马拉松史上的首桩凶杀案	The first murder in the history of the Massachusetts Marathon happened just now.			
	1	是一起枪击案	It was a shooting accident.			
	2	我们抓到凶手了吗	Did we catch the murder?			
	1	没有 里佐利和艾尔斯医生最先到场	No. Rizzoli and Dr. Ayers got there first.			
	1	里佐利控制了事态	Rizzoli got things under control.			
	2	很好	Very good.			
	2	虽然她人讨厌 却是个好警察	Although she is disgusting, she's a good cop.			虽然她人讨厌 确是个好警察
	2	有验尸官在场还真算幸运	It was lucky to have a medical examiner on the spot.			
	1	好吧	Ok.			
	2	那么我们要封闭大桥	So we're going to close the bridge.			
						
286	1	你买到你想要的了	You got what you wanted.			
	1	今天的任务完成了	Today's task is done.			
	2	别皱眉了 笑一个	Don't frown, say cheese.			
	1	你坐15号线回家吧	You take line 15 and go home.			
	1	双手抓紧那袋子	Hold that bag with both hands.			
	1	那趟公交途经的几个街区不太安全	The bus goes through a few unsafe blocks.			那趟公交途径的几个街区不太安全
	2	你不载我回去吗	Aren't you going to drive me home?			
	1	你把原本可以载你的时间都浪费在挑选皮带里了	You wasted time picking out belts that could have taken you home.			
	2	好吧 我只是难以接受	Well, I just can't accept it.			
						
287	1	我们的受害人有案底	Our victims have a criminal record.			
	2	她是为什么被抓的	Why was she arrested?			
	1	基本都是轻罪	They're basically misdemeanors.			
	1	几次酒后闹事	Several times of drunken disturbances.			几次酒后闹市
	1	还有一项少量藏毒的指控	There was also a small charge of drug possession.			
	1	都在亚特兰大	Both in Atlanta.			
	2	没有本地的吗	Doesn't she have a local one?			
	1	没有	No.			
	1	我也没找到她在波士顿的地址	I can't find her Boston address			
	1	或者在州里的工作记录	or her work records from the state.	her	或者她在州里的工作记录	
	2	好吧 给亚特兰大警局打电话看看有没有她的更多资料	All right, call the Atlanta PD and see if we can find out more about her.			
						
288	1	我记得你说过你妈妈对我们在一起的态度有所软化	I remembered you said your mother was softening a little about us being together.			
	2	她是在解冻	She's unfreezing.			
	1	那你爸爸呢	What about your father?			
	1	冰川要多久才能融化	How long will it take for the glacier to melt?			冰川要多久才能溶化
	2	很慢	very slow.			
	1	所以我们才称之为冰川期	That's why we call it the glacial epoch.			
	2	你知道那意味着什么吗	Do you know what that means?			
	2	意味着我们得多制造一点热量	That means we have to produce a little more heat.			
						
289	1	我四个月前被逮捕了	I was arrested four months ago.			
	1	被控一级谋杀罪	I was charged with first-degree murder.	I	我被控一级谋杀罪	
	2	我的天呐	My god!			
	1	我很抱歉	I'm sorry.			
	1	是同一桩案件	It's the same case.			
	2	你说同一桩案件是什么意思	What do you mean by "the same case"?			
	1	就是你帮我脱罪的那桩案件	The one in which you got me off.			
	1	他们要再次审判我	They want to judge me again.			
	2	他们不能这么做	They can't do that.			
	2	你已经被判无罪了	You've been acquitted.			你已经背叛无罪了
						
290	1	你惹上大麻烦了	You're in big trouble!			
	2	你觉得我不知道吗	Don't you think that I know it?			
	2	我该怎么办	What should I do?			
	1	你会得到应有的惩罚	You'll get what you deserve.			
	1	停车违规仅次于行车违规	Parking violations are second only to driving violations.			停车违规仅此于行车违规
	2	行车违规会被剥夺驾驶特权	Driving offences can result in deprivation of driving privileges.			
	1	是特权 不是普通权利	It's a privilege, not a right.			
	2	天啊 你闭嘴吧	My God. Shut up!			
						
291	1	你想当爸爸吗	Do you want to be a father?			
	2	迫不及待啊	I can't wait!	I	我迫不及待啊	
	2	但在选择老婆的问题上 我特别挑剔	But I'm very picky when it comes to choosing a wife.			
	2	我希望我的孩子能有个像我妈妈那样的母亲	I hope my children will have a mother like my mother.			
	1	她是个老师 对吗	She's a teacher, isn't she?			
	2	是啊 高中数学老师	Yeah, she is a high school math teacher.			
	2	很爱我 也很严厉	She loves me very much and very strict.	she	她很爱我 也很严厉	很爱我 也很严利
	2	正是我母亲的责备	It was my mother's blame			
	2	指引了我一生的方向	that guides the direction of my life.			
						
292	1	歌洛丽亚 别走 听我解释	Gloria, don't go. Listen to me.			
	2	好吧 但你最好别跟我解释说	OK, but you better not explain it to me			
	2	这是个很重要的客户 而且你要赶进度	that this is an important client and you have a schedule to catch up.			
	1	好吧 那我需要一分钟想一想	Well, I need a minute to think about it.			
	2	我丢下乔 漂洋过海	I left Joe and went across the ocean,			我丢下乔 飘扬过海
	2	不是为了来看你工作的	which was not to see you at work.			
	2	你这样完全不是在度假	You're not on vacation at all.			
	1	你不是第一个这么说我的妻子	You're not the first wife to say that.			
	2	那你还要多少个妻子说才能听进去	Then how many wives do you need to take it in?			
						
293	1	这是凯特飞机爆炸案中	This is kitt's plane bombing's			
	1	制作炸药的成分的购物发票	shopping invoice for the ingredients of the explosive.			
	1	上面写着买主叫做艾伦·博格斯	It identified the buyer as Alan Burgess.			
