说话人1/2	中文文本	英文翻译	补充成分	补充句子
2	也可能是生意伙伴吧	Maybe a business partner.		
1	给我查查到底是什么人	Investigate who he is for me.		
				
	84 84299	84 84299		
1	发生什么事了	What happened?		
2	我流的血还不能说明情况吗	Doesn't my blood tell the story?		
1	看得出来应该很痛	It looks hurting.		
2	为了正义任何代价都是值得的	Justice is worth any price.		
1	我给你拿创可贴处理下伤口	I'll get you a band-aid to take care of the wound.		
				
	85 86876	85 86876		
1	艾米说她饿了 有东西吃吗	Amy said she was hungry. Is there anything to eat?		
2	就不能自己出去吃吗	Can't she just eat out by herself?	she	她就不能自己出去吃吗
1	还是我出去买吧	Let me go out and buy some.		
2	给她叫个披萨什么的吧	Why don't you order her a pizza or something?		
1	奶酪还是意大利香肠	Cheese or pepperoni?		
2	随便	Whatever.		
				
	86 87412	86 87412		
1	长官 我们下一步要干嘛	Sir, what are we going to do next?		
2	调查一下这辆火车	Investigate this train.		
1	为什么	Why?		
1	你真的相信他会出现在万圣节的火车上	Do you really believe he's going to show up on a Halloween train,		
1	然后凭空消失吗	and disappear into the air?		
				
	87 87513	87 87513		
1	你听说梦娜的事了吗	Did you hear about Mona?		
2	听说了 没赶上一年一次的比赛	I heard. She didn't catch the competition once a year.	I/she	我听说了 她没赶上一年一次的比赛
1	太可惜了 她准备了整整半年	what a pity. She prepared it for six months.		
2	你觉得有没有可能是有人暗算梦娜	Don't you think someone's plotting against Mona?		
1	你是说卢卡斯	You mean Lucas.		
2	卢卡斯绝对有问题	There's definitely something wrong with Lucas.		
				
	88 87576	88 87576		
1	来 带上这个	Come and wear this.		
1	会给你带来好运的	It will bring you good luck.		
2	不 我不能要这个	No, I can't accept this.		
2	要是弄丢了怎么办	What if I lose it?	I	我要是弄丢了怎么办
1	那我也弄丢你	Then I'll lose you, too.		
1	哈 开个玩笑	Ha, I'm just kidding.		
				
	89 105667	89 105667		
1	我跟你讲个事情	Let me tell you something.		
2	发生了什么吗	What happened?		
1	斯宾塞交上来的作业很糟糕	The homework that Spencer handed in is awful.		
1	每天早上来上课的时候总带着黑眼圈	He comes to class every morning with black eyes.	He	他每天早上来上课的时候总带着黑眼圈
2	我也察觉到了 可能最近压力比较大吧	I noticed that, too. He may have been under a lot of pressure recently.	He	我也察觉到了 他可能最近压力比较大吧
				
	90 113585	90 113585		
1	拜托 一个月后就要高考了 能专心点吗	Come on. Can you concentrate on the College Entrance Examination which in a month?	you	拜托 一个月后就要高考了 你能专心点吗
2	这家伙在这儿 能专心复习吗	This guy is here, can I focus?	I	这家伙在这儿 我能专心复习吗
1	斯宾塞打扰到你了吗	Is Spencer bothering you?		
2	他在背单词 很大声	He is reciting the words loudly.		
1	我让他去另一间房间	I'll ask him to go to another room.		
				
	91 115290	91 115290		
1	早上好 伊恩	Good morning, Ian.		
2	早上好 喝果汁吗	Good morning, would you like juice?	you	早上好 你喝果汁吗
1	怎么对我这么好了	Why are you being so nice to me?	you	你怎么对我这么好了
2	你上次不是请我喝咖啡吗	Didn't you buy me coffee last time?		
				
	92 124077	92 124077		
1	你的私人账户密码是多少	What's the password for your personal account?		
2	还需要这个吗 我不太清楚	Do you need this? I'm not sure.	you	你还需要这个吗 我不太清楚
1	这是银行的规定 要打电话问下吗	This is the bank's policy. Do you need to make a phone call?	you	这是银行的规定 你要打电话问下吗
2	稍等 我联系下詹姆	Just a minute. I'll contact Jaime.		
				
	93 127021	93 127021		
1	我希望跟你和我朋友好好聊聊	I wish I could talk to you and my friends.		
2	为什么呢	Why?		
1	我希望我的朋友也能看到你的优点	I hope my friends can see your merits, too.		
2	为什么突然开始在意你朋友对我的看法了呢	Why do you suddenly care what your friends think of me?	you	为什么你突然开始在意你朋友对我的看法了呢
1	我希望他们也能喜欢你	I hope they like you, too.		
				
	94 138081	94 138081		
1	你让梦娜自己出去 不怕斯拉骚扰她吗	You let Mona go out alone, don't you afraid that Slat harass her?		
2	梦娜只是出去购个物	Mona just goes out for shopping.		
2	如果碰巧和斯拉碰上 会打电话给我的	She will call me if she happens to run into Slat.	she	如果碰巧和斯拉碰上 她会打电话给我的
1	我还是觉得你一起去比较好	I'd rather you went with her together.		
				
	95 140504	95 140504		
1	你不想知道真相吗 我们要替她报仇	Don't you want to know the truth? We're going to avenge her.		
2	这样也不会让她复生	It won't bring her back.		
2	不管做什么她也不会回来了	No matter what she won't come back.		
2	我们现在得集中精神 保护还活着的人	We have to focus on protecting the people who are still alive.		
				
	96 141928	96 141928		
1	汉娜去哪儿了	Where's Hanna going?		
2	她说今晚和朋友吃饭去了	She said she was having dinner with friends tonight.		
1	怎么能不接我电话	How can she not answer my phone?	she	她怎么能不接我电话
2	可能是手机没电了吧	Maybe her phone is out of power.		
1	可真是 我给她打了好几通电话了	Almost. But I did call her several times.		
				
	97 146589	97 146589		
1	斯宾塞 昨晚我们的对话还没完	Spencer, we didn't finish our conversation last night.		
2	我家里事情有点多 抱歉	I'm a little busy with my family. I'm sorry.		
1	哦 如果打扰了你很抱歉	Oh, I'm sorry if I bothered you.	I	哦 如果我打扰了你很抱歉
2	我只是有些心烦意乱	I'm just a little upset.		
1	那我明天再来找你吧	I'll come to you again tomorrow.		
				
	98 147584	98 147584		
1	他现在这个状态不适合学习	He is not suitable for learning now.		
2	但他也得回学校啊	But he has to go back to school.		
1	就是去了也怕是心不在焉	Even if he did, he would be absent-minded.	he	他就是去了也怕是心不在焉
2	我们得跟他的几个老师谈谈	We have to talk to his several teachers.		
1	我早就谈过了	I already did.		
				
	99 148077	99 148077		
1	好久没见过艾米丽了	I have't seen Emily for a long time.	I	我好久没见过艾米丽了
2	她最近一直在准备一个比赛	She has been preparing for a competition recently.		
1	比赛前到我家玩吗 她需要放松一下	Would she come to play at my house before the competition? She needs to relax.		
2	应该没问题 她也没别的安排	It probably should be OK. She has no other arranges, either.		
				
	100 150531	100 150531		
1	爸爸希望我和凯特在一起 你觉得呢	Dad wants me to be with Kate. What do you think?		
2	要我说应该拒绝	I would say no.		
1	为什么这么说	Why do you say so?	you	为什么你这么说
2	汤姆对你很有好感	Tom is very fond of you.		
1	你说什么	What are you talking about?		
2	他一直在等你回心转意	He's been waiting for you to come round.		
				
	101 152778	101 152778		
1	洁姬有话让我转告你	Jackie asked me to tell you something.		
2	转告我什么	Tell me what?		
1	她威胁要毁掉你的一切	She threatened to destroy everything about you.		
2	还有呢	What else?		
1	还说要去找她爸爸让他炒了你	She said she was going to get her father to fire you.		
2	就是因为洁姬总是这样我才提的分手	That's why I broke up with Jackie all the time.		
				
	102 153151	102 153151		
1	他们怎么能这么做 谁能拦一拦	How could they do that? Who could stop them?		
2	别说了 他们不听劝的	Stop! They won't listen.		
1	他们真当警察傻吗	Do they really think cops are stupid?		
1	等被逮捕的时候就知道到底是谁傻了	It'll know who's stupid when they get arrested.	they	等他们被逮捕的时候就知道到底是谁傻了
				
	103 153708	103 153708		
1	我们一起经历了这么多 你居然说有些事不该我知道	We've been through so much together but you said something I shouldn't know.		
2	要怎样你才肯不管我的事	What could I do can make you stay out of my business?	I	我要怎样你才肯不管我的事
1	告诉我回到家那天晚上发生了什么	Tell me what happened the night you got home.	you	告诉我你回到家那天晚上发生了什么
2	我告诉过你 我被人设计了	I told you I was set up by others.		
1	你这样说我怎么才能相信你	How can I trust you when you say that.		
				
	104 157111	104 157111		
1	等等 你也要走吗	Wait a second, are you leaving, too?		
2	我也希望留下 不过我和霍顿约好了出去	I hope to stay, too, but I have a date with Horton.		
1	我以为你和他不熟	I thought you weren't familiar with him.		
2	之前是不熟	It wasn't before.		
2	但谁知道现在成朋友了	But who knows we became friends now.	we	但谁知道我们现在成朋友了
				
	105 158343	105 158343		
1	麦克维先生是一位优秀的弹道专家	Mr. McVeigh is an excellent ballistics expert.		
1	不过我觉得他稍微有些保守	But I think he's a little conservative.		
2	为什么这么说	Why do you say that?	you	你为什么这么说
1	他擅长分析枪支的弹道 但不包括3D打印的武器	He is good at analyzing the trajectory of guns but not 3D printed weapons.		
2	那你注意到什么异常了吗	Did you notice anything unusual?		
1	没错 能演示下吗	That's right. Can I demonstrate it?	I	没错 我能演示下吗
2	我得承认我很担心 但请便吧	I have to admit I'm worried, but go ahead.		
				
	106 1587392	106 1587392		
1	电子监控已经录下了你的犯罪证据	Electronic monitoring has recorded evidence of your crimes.		
2	它们没有法律效力	They have no legal force.		
1	凭什么没有法律效力	Why do they have no legal force?	they	它们凭什么没有法律效力
2	警官一定会抓住这点的	The police officer will catch it.		
				
	107 160432	107 160432		
1	霍顿 告诉我汉娜那晚到底去哪儿了	Horton, tell me where exactly did Hanna go that night?		
2	额 你要不直接去问她吧	Well, why don't you just ask her?		
1	你就不能直接告诉我吗	Can't you just tell me?		
2	那晚和同学一起去酒吧了	She went to the bar with her classmates that night.	she	她那晚和同学一起去酒吧了
				
	108 161456	108 161456		
1	凯勒去哪儿了 最近都没见到他	Where's Keller? I haven't seen him lately.	I	凯勒去哪儿了 我最近都没见到他
2	他周末去了蒙太席	He went to Montague's on the weekend.		
1	是探望父母去了吗	Did he go to visit his parents?	he	他是探望父母去了吗
2	是的	Yes.		
1	生活可真艰辛啊	Life is really hard.		
				
	109 163055	109 163055		
1	艾莉森 你为什么要打扮成这样	Alison, why are you dressed like this?		
2	嘘 小点声	Shoo, less noise.		
1	在干什么呢 是在玩什么游戏吗	What are you doing? Are you playing a game?	you	你在干什么呢 你是在玩什么游戏吗
2	告诉你但你一定要保密	I can tell you but you must keep it a secret.	I	我告诉你但你一定要保密
2	其实我在监视一个人	I was actually spying on someone.		
				
	110 165232	110 165232		
1	佩奇 你需要我帮忙吗	Paige, do you need my help?		
2	我倒是想但是不行	I'd love to, but I can't.		
1	老板要是看到我闲着会生气的	The boss will be angry if he sees me idle.		
2	你和其他人闲聊的时候他不生气吗	Doesn't he get annoyed when you chat with other people?		
1	不 我们不是在闲聊 我们是在谈正事	No, we're not chatting. We're talking business.		
				
	111 167349	111 167349		
1	汉娜 你妈在吗	Hanna, is your mother here?		
2	找她有什么事吗	What can she do for you?	you	你找她有什么事吗
1	麻烦转告你的母亲带你来警局做血样检测	Please tell your mother to bring you to the police station for a blood test.		
2	为什么要来验我的血	Why are you testing my blood?	you	你为什么要来验我的血
1	那件案子有了新的证据 血迹的血型和你一样	There's new evidence in that case. The blood's the same type as yours.		
2	这是在怀疑我吗	Are you doubting me?	you	你这是在怀疑我吗
				
	112 168555	112 168555		
1	你还记得我扶你进屋吗	Do you remember when I helped you into the house?		
2	不记得了	I don't remember.	I	我不记得了
1	我扶你到床上 然后到厨房去给你倒水	I helped you to your bed and then I went into the kitchen to get you some water.		
2	然后呢	And then?		
1	回屋时你已经不在了	You were gone when I got back to the room.	I	我回屋时你已经不在了
				
	113 171870	113 171870		
1	斯宾塞 你觉得屋里会有什么线索吗	Spencer, do you think there are any clues in the room?		
2	我们不该进来的 里面不安全	We shouldn't come in. It's not safe inside.
1	既然进来了就找找看吧	Now that we're in, just look for it.	we	我们既然进来了就找找看吧
2	我们要找什么	What are we looking for?		
1	一件红外套	A red coat.		
				
	114 172378	114 172378		
1	从纽约回来感觉怎么样	How was it coming back from New York?		
2	开车回来太累了 应该乘火车的	I'm tired of driving home. I should have taken the train.	I	开车回来我太累了 我应该乘火车的
1	你和梦娜有多久没见了	How long has it been since you and Mona last saw each other?		
2	得有一个月没见了吧	Almost a month.		
1	多关心关心她 她很想你	Take care of her more. She misses you so much.		
				
	115 173176	115 173176		
1	你知不知道最近城里有个大新闻	Do you know there's a big news in town recently?		
2	不知道啊 我最近都不在	I don't know. I haven't been here lately.		
1	你是在华盛顿参加面试吗	Are you in Washington for the interview?		
2	昨天在 明天可能去旧金山	I was yesterday. I may go to San Francisco tomorrow.	I	我昨天在 明天我可能去旧金山
1	真羡慕你呀 生活多姿多彩	How I envy you! Your life is so colorful!	I/Your	我真羡慕你呀 你的生活多姿多彩
				
	116 173329	116 173329		
1	看起来你有点不舒服 需要给你开点止疼药吗	You look a little uncomfortable. Do you need some painkillers?		
1	氢可酮怎么样	What about hydrocodone?		
2	不行 我吃那个有严重的不良反应	No, I had a bad reaction to that.		
1	你的病例里没有写	It's not in your case.		
2	我听说那个药有严重的不良反应	I heard that the drug with a bad reaction.		
1	好吧 会诊结果出来再和你谈	Well, I'll talk to you when I get the results.	I	好吧 会诊结果出来我再和你谈
				
	117 174422	117 174422		
1	那晚你遇到她的时候她怎么说	What did she say the other night when you met her?		
2	她说她离开了纽约回了玫瑰镇	She said she left New York and went back to Rose Town.		
1	去见威尔登吗	To see Wilden?		
2	我不知道 她没告诉我	I don't know, she didn't tell me.		
				
	118 175928	118 175928		
1	我知道汉娜很担心她妈妈	I know Hanna's worried about her mother.		
1	但我要去查查梅丽莎 就像她查我们一样	But I'm gonna go check on Melissa just like she checked on us.		
2	我们要查点什么	What are we going to check?		
1	必须查清楚梅丽莎那天都做了什么	We must find out what Melissa did that day.	We	我们必须查清楚梅丽莎那天都做了什么
2	她不会让我们查到的	She won't let us find out.		
				
	119 179461	119 179461		
1	有人想杀艾莉还把她埋在后院里	Someone tried to kill Ellie and bury her in the backyard.		
2	然后有人把她挖了出来 像挖萝卜似的	Then someone dug her up like a turnip.		
1	那她为什么不直接报警	Why didn't she just call the police?		
2	报给哪个警察	Which policeman could she call?	she	她报给哪个警察
1	威尔登或者加勒特	Wilden or Garrett.		
				
	120 179476	120 179476		
1	我们一定要让艾丽回来	We have to let Ellie back.		
2	你准备问她什么	What are you going to ask her?		
1	我要问清楚到底是怎么回事 为什么要这样对我们	I need to know what's going on? Why did she treat us like this?	she	我要问清楚到底是怎么回事 她为什么要这样对我们
2	艾丽一向喜欢玩游戏	Ellie has always liked to play games.		
1	怎么 她是在耍我们吗	How? Is she kidding us?		
				
	121 183872	121 183872		
1	佩拉有这些邮件 她打算明天发布这篇报告	Pera has these emails and she's going to release this report tomorrow.		
2	我该怎么做才能抢到首发	How can I get the first publish?		
1	如果想抢在她前面 今晚就得找到点料	We're gonna have to find some news tonight if we're gonna get ahead of her.		
				
	122 184992	122 184992		
1	波尔马先生 你的妹妹莉亚在长期与毒瘾抗争后 几年前试图自杀	Mr. Polma, your sister Leah tried to kill herself a few years ago after a long struggle with drug addiction.		
1	我知道你的家人都最后的日子里有拒绝帮她	I know your family refused to help her in her last days.		
2	干什么啊 趁我们不备打击一下吗	What are you doing? Do you want to take a hit while we're not preparing?		
1	无论我们多么努力 最终还是无能为力	No matter how hard we try, there is nothing we can do.		
2	所有接触毒瘾的家庭都知道 你们已经竭尽全力了	Any family dealing with addiction knows you've done your best.		
				
	123 185638	123 185638		
1	你还要这样玩多久	How long do you want to play like this?		
2	押韵吗 我玩一整天都没问题	Rhyme? I'll have no problem playing all day.		
1	看得出来你是个聪明女孩 嘴巴很快 很有斗志	I can see you're a smart girl with a quick mouth and fighting will.	I	我看得出来你是个聪明女孩 嘴巴很快 很有斗志
1	但是你惹我生气没有用	But it's no use that you make me angry.		
				
	124 186965	124 186965		
1	我拿到了追踪许可证	I got a tracking license.		
1	可以追踪她们的手机和斯塞宾车上的GPS信号	I can track their cell phones and GPS signals from Spencer's car.	I	我可以追踪她们的手机和斯塞宾车上的GPS信号
2	很好 我们什么时候能知道她们在哪儿	Good. When will we know where they are.		
1	一小时之内就会知道了	We'll know it in an hour.	we	我们一小时之内就会知道了
2	很好 随时向我汇报	Good, keep me informed.		
				
	125 188346	125 188346		
1	艾米丽 我爸爸不会同意我去外面过夜的	Emily, my dad wouldn't let me go out for the night.		
2	那你打算怎么办	So what are you gonna do?		
1	我有几个主意	I have a few ideas.		
2	能让我参与计划吗	Can you involve me in the plan?	you	你能让我参与计划吗
2	这样才能帮到你	I will help you.		
				
	126 189347	126 189347		
1	还好吗 需要些什么	Are you OK? What do you need?	you	你还好吗 需要些什么
2	我需要知道这一切都不是真的 莎娜没有死	I need to know that none of this is real, Shana isn't dead.		
1	可这些都是真的	But all these are true.		
2	不 她没有	No, she didn't.		
				
	127 191227	127 191227		
1	斯宾塞 嗨	Spencer, hi!		
2	爱迪 好久不见	Eddie, we had not seen for a long time.		
1	谢谢你出来见我 希望没打扰到你做事	Thank you for coming out to see me, I hope I didn't interrupt your work.		
2	我有几分钟空闲	I have a few minutes free.		
1	好极了 最近过的如何	Great. How have you been?	you	好极了 你最近过的如何
2	还行	Not too bad.		
				
	128 191731	128 191731		
1	早啊 莎娜	Good morning, Shana.		
2	早上好 你爸爸在家吗	Good morning. Is your father at home?		
1	你刚刚错过了	You just missed him.	him	你刚刚错过了他
2	他出门了吗	Has he gone out yet?		
1	他几分钟前刚出去上班 找他有什么事吗	He just left for work a few minutes ago. What can he do for you?	you	他几分钟前刚出去上班 你找他有什么事吗
2	还真有点事	Something's really up.		
				
	129 208903	129 208903		
1	莎拉 你还好吧	Sarah, are you okay?		
2	现在已经没事了	I'm OK now.	I	我现在已经没事了
1	想想晚上想吃什么 我打电话叫餐	Think about what you'd like to eat tonight, I'll call for dinner.	you	想想你晚上想吃什么 我打电话叫餐
2	只要能送餐的什么都行	Anything is OK as long as someone can deliver the food.		
1	我再也不会让你独自一人了	I'll never leave you alone.		
				
	130 209243	130 209243		
1	你好 艾莉森 我是洛伦佐	Hi, Alison. I'm Lorenzo.		
2	我们是不是在哪里见过	Haven't we met somewhere before?		
1	第一次见面的时候我穿着制服	I was in uniform when we first met.	we	我们第一次见面的时候我穿着制服
2	哦 想起来了	Oh, I remember.	I	哦 我想起来了
2	能在这儿遇到熟人真好	It's nice to come across an acquaintance here.		
1	我也是刚来这儿不久	I'm new here, too.		
				
	131 231331	131 231331		
1	天呐 识别结果是艾伦	God. Identify results turned out to be Alan. 		
2	是艾伦法官吗	Is that judge Allen?		
1	难怪他不肯签搜查令 就是因为他也是那里的病人	No wonder he refused to sign a search warrant because he was a patient there, too.		
2	说不定还是凶手呢	Maybe he's the killer.	he	说不定他还是凶手呢
1	要我和你一起去吗	Would you like me to go with you?		
2	不用 我自己去就行	No, I can go by myself.		
				
	132 237864	132 237864		
1	我要按下破解按钮了	I'm gonna hit the crack button.		
2	来吧	Come on.		
1	看起来不太妙啊	It doesn't look good.		
2	肖恩在源码里植入了自毁程序 只要有人入侵就会清空内存	Shawn planted a self-destruct program in the source code that will empty the memory whenever someone invades it.		
1	也许我可以撤销指令	Maybe I can repeal the instruction.		
2	你动手前应该做个备份的	You should have made a backup before you started.		
				
	133 237943	133 237943		
1	简 你知道孩子的父亲是谁吗	Jane, do you know who the father is?		
2	你就是想和我谈这个吗	Is that what you want to talk about to me?		
1	我觉得你知道	I think you know it.		
2	过去不知道 现在也不知道	I didn't know it before and I don't know it now.	I	我过去不知道 我现在也不知道
1	你怎么会不知道是谁的孩子	How can you not know whose child it is?		
				
	134 238758	134 238758		
1	听说朱丽叶要来这边	I hear Juliet's coming over here.		
2	对 据说是要来拿手稿	Yeah, she's supposed to be coming for the manuscript.	she	对 据说她是要来拿手稿
1	确认她抵达这儿的时间了吗	Have you confirmed the time of her arrival here?	you	你确认她抵达这儿的时间了吗
2	也许是开车来的 所有航班的乘客名单上都没她	Maybe she drives here, She wasn't on the passenger list on any of the flights.		
				
	135 239521	135 239521		
1	这位先生 有什么能帮到你吗	What can I do for you? Sir.	I	这位先生 我有什么能帮到你吗
2	可不可以来这里吃个饭	Can I have dinner here?	I	我可不可以来这里吃个饭
1	当然可以 要先来杯咖啡吗	Sure. Would you like a cup of coffee first?	you	当然可以 你要先来杯咖啡吗
2	好的 谢谢	OK, thank you.		
				
	136 241780	136 241780		
1	她的初步分析已经出来了	Her preliminary analysis has come out.		
2	难道不是溺水身亡的吗	Didn't she drown?	she	难道她不是溺水身亡的吗
1	是溺水 但不是海水溺水	She is, but not sea drowning.	she	她是溺水 但不是海水溺水
2	是苏打水吗	Is it soda?		
1	也不是 她吸入的是雨水	Neither. What she inhaled was rain water.		
				
	137 241789	137 241789		
1	她的尸检报告显示她是被雨水淹死的	Her autopsy report showed that she had drowned in the rain.		
1	也就是说我们要找的犯罪现场得有一整桶雨水	Which means the crime scene we're looking for has to have a whole bucket of rain.		
1	我们知道尸体是被抛在港口的海水中	We know the bodies were thrown into the sea in the harbor.		
2	没错 也许就是在港口附近被杀的	Yeah, maybe she was killed near the harbor.	she	没错 也许她就是在港口附近被杀的
				
	138 243390	138 243390		
1	亲爱的 又加班了吗	Darling, did you work overtime again?	you	亲爱的 你又加班了吗
2	是的 你到家了吧	Yes, you're home, aren't you?		
1	刚到家 我去接宝宝了	I just got home, I went to pick up the baby.		
2	今天怎么这么早	Why are you so early today?		
1	学校有突发情况所以提前出来了	School came out early because of an emergency. 		
				
	139 243699	139 243699		
1	他不会因此就逃脱罪责的	He couldn't get away for it.		
2	昨天我还敢这么说 今天可不好说了	I dared to say that yesterday, but I'm not sure today.		
1	你让他张嘴说话了吗	Did you let him talk?		
2	是的 停都停不下来	Yeah, he couldn't even stop.	he	是的 他停都停不下来
				
	140 243892	140 243892		
1	真不好意思 本该给你倒杯茶的	I'm sorry. I should have give you a cup of tea.	I/I	真不好意思 我本该给你倒杯茶的
2	桌上的曲奇饼干呢	What about the cookies on the desk?		
1	都被我吃了	I ate them all.		
2	巧克力也被你吃了吗	Even the chocolate?		
1	一开始就吃了	I ate the chocolate first.	I	我一开始就吃了
				
	141 275250	141 275250		
1	他体温很低 应该坐在这里有一会儿了	He has a low temperature. He must have been sitting here for a while.
2	那是今天的报纸	That's today's newspaper.		
1	该不会是一边在看股票版一边在自刎吧	He wouldn't be reading the stock pages while cutting his throat.	he	他该不会是一边在看股票版一边在自刎吧
2	伤口的边缘很奇怪	The edge of the wound is strange.		
1	其实整件事都很蹊跷	The whole thing is strange.		
				
	142 278703	142 278703		
1	看到那个刺伤她的人了吗	Did you see the man who stabbed her?	you	你看到那个刺伤她的人了吗
2	没有 他离我太远了	No, he's far away from me.		
1	发现她的时候她还有意识吗	Was she conscious when you found her?	you	你发现她的时候她还有意识吗
2	有的 她还在呻吟	Yeah, she was moaning then.		
1	什么时候停下来的	When did she stop it?		
2	几分钟前	Just a few minutes ago.		
1	她已经死了 失血过多	She's dead. She lost too much blood.		
				
	143 313574	143 313574		
1	我以为你点了好吃的	I ordered some nice dishes for you.		
2	这很好啊	That's great.		
1	那是紫甘蓝 过去人们吃沙拉没人会吃	That's purple cabbage. Nobody used to eat it in salad.		
2	但是现在成了好东西了 不是吗	But it's a nice food now, right?		
				
	144 313579	144 313579		
1	你能戒了咖啡吗	Can you quit coffee?		
1	你有家族高胆固醇史	You have a family history of high cholesterol.		
2	不行	No.		
1	该去医院检查一下的	You should go to the hospital.	you	你该去医院检查一下的
2	你真多管闲事	You're so nosy.		
1	我这是关心	I care about you.	you	我这是关心你
				
	145 316267	145 316267		
1	我想我已经触发了压力开关	I think I've triggered the power switch.		
2	如果现在放手会怎样	What if you release it now?	you	你如果现在放手会怎样
1	这就像一个地雷踩上之后 如果抬脚就会爆炸	It's like a mine, if you've stepped on it, it'll explode if you life your foot.		
2	我们需要拆弹专家	We need a bomb disposal expert.		
1	你走吧 弗罗斯特	You should go, Frost.		
				
	146 317324	146 317324		
1	我们现在去吃饭吧	Let's have dinner now.		
2	要不叫上约翰吧	Why don't we call Jonh?	we	我们要不叫上约翰吧
1	没问题 他知道地址吗	No problem. Does he know the address?		
2	已经发给他了	I've already sent him.	I	我已经发给他了
				
	147 317371	147 317371		
1	约翰找了个新工作	John found a new job.		
2	什么时候	When?		
1	不确定 不过他打包了他的所有东西	I'm not sure. But he packed all his stuff.	I	我不确定 不过他打包了他的所有东西
1	连我们的比赛奖杯都带走了	Even our trophy.		
2	他不会把电脑都搬走了吧	He can't take the computer with him, can he?		
				
	148 325959	148 325959		
1	卢卡斯是不是你的律师	Is Lucas your lawyer?		
2	不 是律所的律师	No. He's the lawyer at a law firm.	he	不 他是律所的律师
2	之前他处理过霍维尔的案子	He worked on the Howell's case before.		
1	卢卡斯确实是个好律师	Lucas is really a good lawyer.		
				
	149 326503	149 326503		
1	弗里茨还好吗	Is Fritz okay?		
2	子弹打进了他的肩膀 他正在动手术	The bullet hit his shoulder. He is undergoing surgery.		
1	什么时候才能和他谈谈	When can I talk to him?	I	我什么时候才能和他谈谈
2	要等医生同意才行	Only when the doctor agrees.		
				
	150 333508	150 333508		
1	伸手 这边有驱蚊水	Give me your hand, I have mosquito repellant here.		
2	我不需要	I don't need it.		
1	这些蚊子没有嗡得你脑子糊了吗	Aren't these mosquitos buzzing your mind?		
2	我是不被蚊子咬的体质	I'm immune to mosquitos.		
				
	151 333509	151 333509		
1	现场报告是谁在负责	Who's in charge of the on-site report.		
2	是丹尼尔 他刚才进行了现场勘查	Daniel. He just conducted a on-site survey.		
1	有什么发现吗	Any discovery?		
2	死者是白人女性 应该是青少年	The victim was a white female, and she's probably a teenager.	she	死者是白人女性 她应该是青少年
1	知道名字吗	Do you know her name?	you	你知道名字吗
2	死者身上没有任何证件	There's no identification on the victim.		
				
	152 340085	152 340085		
1	你平时有什么娱乐活动吗	What do you do for entertainment usually?		
2	我是红袜队的粉丝	I'm a fan of Red Sox.		
1	我不怎么懂棒球	I don't know much about baseball.		
2	住在这个城市怎么能不爱红袜队	How can you not love Red Sox while live in this city?	you	你住在这个城市怎么能不爱红袜队
1	那就给我科普下吧	Tell me about it.		
				
	153 343436	153 343436		
1	妮可哪儿去了	Where's Nicole?		
2	她一个人去抓爱丽丝了	She went to catch Alice alone.		
1	抓到了吗	Have she caught her?	she	她抓到了吗
2	还没有	Not yet.		
1	爱丽丝很狡猾 你去帮帮她	Alice is cunning. You should go help her.		
				
	154 343441	154 343441		
1	你在干什么	What're you doing?		
2	爱丽丝藏起来了 我在查她可能藏在哪儿	Alice's hiding. I'm trying to figure out where she's possibly hiding.		
1	目前发现了什么吗	Any discoveries?		
2	好像一直有人在帮她	It seems that someone's been helping her.		
				
	155 350566	155 350566		
1	你是在写书吗	Are you writing a book?		
2	没错 刚写了一章	Yeah, I just finished a chapter.	I	没错 我刚写了一章
1	把我写进去了吗 我可以当个配角	Did you put me in the book? I can be a costar.	you	你把我写进去了吗 我可以当个配角
2	你会出现在致谢部分里	You'll be in the acknowledgement.		
1	好吧 反正别把我写成英格兰人	Fine. Anyway, don't make me an English man.		
				
	156 389727	156 389727		
1	他们的音乐总监突然病了	Their music director is suddenly ill.		
2	怎么莫名其妙病了 明天的演出可十分重要	For no reason? The show tomorrow is very important.		
1	也许我可以当临时的音乐总监	Maybe I can be their interim music director.		
2	一个晚上就能学会吗	Only by one night?		
1	只能试试了	I'll try.	I	我只能试试了
				
	157	157		
1	这是你带的咖啡吗	Did you brought the coffee?		
2	是的 我准备送给我的上司	Yeah, I'll give it to my boss.		
1	你知道他喜欢喝茶还是喝咖啡吗	Do you know whether he likes tea of coffee?		
2	据我所知都喜欢	As far as I know, he likes them all.	he	据我所知他都喜欢
				
	158	158		
1	听说美林在附近开了家餐厅	I heard Meilin opened a restaurant nearby.	I	我听说美林在附近开了家餐厅
2	是的 叫美林餐馆	Yes, it's Meilin's.		
1	你去过那里吃饭吗	Have you ever eaten there?		
2	去过 那里的饺子很不错	Yeah, the dumplings there is great.		
				
	159	159		
1	明天有一场展览 我们要去看吗	There's going to be an exhibition tomorrow. Are we going to see it?		
2	什么展览	What kind of exhibition?		
1	全球最大的粉钻展览	The largest pink diamond exhibition in the world.		
2	我们上次是不是在哪儿也看过	Didn't we see it somewhere before?		
1	去年在巴黎看过一次	We saw it once last year in Paris.	we	我们去年在巴黎看过一次
				
	160	160		
1	莉亚在哭什么	Why is Leah crying?		
2	她被从面包店里轰了出来	She was ejected from the bakery.		
1	怎么会从面包店里赶出来呢	How could that happen?		
2	莉亚偷了一个蛋糕	Leah stole a cake.		
1	这就不奇怪了	That makes sense.		
				
	161 392349	161 392349		
